f,c,asset
63937,65535,Fjord Avenue
62338,63936,Star Lane
60739,62337,Wonder Bluffs
59140,60738,Fantasy Circle
57541,59139,Summer Court
55942,57540,Haze Boulevard
54343,55941,Boulder Way
52744,54342,Firefly Dale
51145,52743,Elmwood Passage
49546,51144,Jade Passage
47947,49545,Juniper Way
46348,47946,Bridgewater Boulevard
44749,46347,Nefarious Drive
43150,44748,Palm Ferry
41551,43149,Nevada Falls
39952,41550,Bonnie Freeway
38353,39951,The Highway
36754,38352,Crystal Hill
35155,36753,Shard Junction
33556,35154,Hukosai Knolls
31957,33555,Hoirzon Lakes
30358,31956,Pagoda Mews
28759,30357,Sapporo Park
27160,28758,Harlem Pines
25561,27159,Etoile Road
23962,25560,Pine Ridge
22363,23961,Evergreen Springs
20764,22362,Venus Terrace
19165,20763,The Turnpike
17566,19164,Doja Drive
15967,17565,Guardian Views
14368,15966,Orbit Way
12769,14367,Galaxy Manor
11170,12768,Arid Lodge
9571,11169,Sunset Crescent
7972,9570,Orange Court
6373,7971,Loa Crossing
4774,6372,Diablo Cliffs
3175,4773,Hemp Town
1576,3174,Phoebus Crossing
1,1575,Freedom Valley
